,eof1_pval,lat,lon
0,0.00124228,12.5578,174.375
0,2.35361e-05,12.5578,177.188
0,2.2484e-08,12.5578,180
0,2.49794e-11,12.5578,182.812
0,1.08175e-13,12.5578,185.625
0,7.53561e-20,12.5578,188.438
0,7.57907e-38,12.5578,191.25
0,1.56381e-61,12.5578,194.062
0,1.33664e-90,12.5578,196.875
0,3.46473e-102,12.5578,199.688
0,4.49037e-99,12.5578,202.5
0,1.76091e-111,12.5578,205.312
0,4.44909e-124,12.5578,208.125
0,1.03586e-154,12.5578,210.938
0,3.59359e-182,12.5578,213.75
0,2.87559e-205,12.5578,216.562
0,7.43774e-218,12.5578,219.375
0,1.27993e-215,12.5578,222.188
0,5.51164e-195,12.5578,225
0,7.10126e-164,12.5578,227.812
0,1.95929e-146,12.5578,230.625
0,8.77002e-132,12.5578,233.438
0,5.78903e-133,12.5578,236.25
0,2.70168e-127,12.5578,239.062
0,2.45592e-114,12.5578,241.875
0,8.38755e-118,12.5578,244.688
0,1.21301e-117,12.5578,247.5
0,1.03053e-134,12.5578,250.312
0,1.14081e-145,12.5578,253.125
0,5.15634e-156,12.5578,255.938
0,3.08532e-171,12.5578,258.75
0,6.49758e-190,12.5578,261.562
0,1.4631e-222,12.5578,264.375
0,1.68364e-257,12.5578,267.188
0,3.16033e-290,12.5578,270
0,4.45947e-300,12.5578,272.812
0,8.31649e-242,12.5578,275.625
0,5.13024e-281,9.76715,278.438
0,1.53457e-33,9.76715,151.875
0,2.68368e-22,9.76715,154.688
0,2.39896e-12,9.76715,157.5
0,0.0088868,9.76715,160.312
0,0.087994,9.76715,163.125
0,5.82205e-09,9.76715,165.938
0,2.802e-19,9.76715,168.75
0,3.53305e-31,9.76715,171.562
0,1.24874e-47,9.76715,174.375
0,5.32131e-62,9.76715,177.188
0,2.4604e-72,9.76715,180
0,2.04034e-76,9.76715,182.812
0,1.34417e-94,9.76715,185.625
0,4.7795e-120,9.76715,188.438
0,2.77087e-174,9.76715,191.25
0,1.47165e-228,9.76715,194.062
0,9.56745e-281,9.76715,196.875
0,1.47522e-299,9.76715,199.688
0,3.64262e-279,9.76715,202.5
0,6.11481e-311,9.76715,205.312
0,0,9.76715,208.125
0,0,9.76715,210.938
0,0,9.76715,213.75
0,0,9.76715,216.562
0,0,9.76715,219.375
0,0,9.76715,222.188
0,0,9.76715,225
0,0,9.76715,227.812
0,0,9.76715,230.625
0,0,9.76715,233.438
0,0,9.76715,236.25
0,0,9.76715,239.062
0,0,9.76715,241.875
0,0,9.76715,244.688
0,0,9.76715,247.5
0,0,9.76715,250.312
0,3.81346e-317,9.76715,253.125
0,4.1422e-305,9.76715,255.938
0,5.32301e-306,9.76715,258.75
0,8.84914e-316,9.76715,261.562
0,0,9.76715,264.375
0,0,9.76715,267.188
0,0,9.76715,270
0,0,9.76715,272.812
0,0,9.76715,275.625
0,0,6.97653,278.438
0,3.63465e-33,6.97653,151.875
0,6.51285e-18,6.97653,154.688
0,5.52045e-07,6.97653,157.5
0,0.854955,6.97653,160.312
0,4.383e-08,6.97653,163.125
0,2.09674e-30,6.97653,165.938
0,3.99386e-64,6.97653,168.75
0,1.31122e-118,6.97653,171.562
0,1.62591e-168,6.97653,174.375
0,4.25745e-188,6.97653,177.188
0,4.93595e-201,6.97653,180
0,2.58704e-193,6.97653,182.812
0,5.60386e-236,6.97653,185.625
0,7.90021e-285,6.97653,188.438
0,0,6.97653,191.25
0,0,6.97653,194.062
0,0,6.97653,196.875
