,eof2,lat,lon
0,0.22281,12.5578,194.062
0,0.228666,12.5578,196.875
0,0.244299,12.5578,199.688
0,0.262725,12.5578,202.5
0,0.255306,12.5578,205.312
0,0.249745,12.5578,208.125
0,0.250691,12.5578,210.938
0,0.249475,12.5578,213.75
0,0.245556,12.5578,216.562
0,0.220955,12.5578,219.375
0,0.186011,12.5578,222.188
0,0.166193,12.5578,225
0,0.151779,12.5578,227.812
0,0.165469,12.5578,230.625
0,0.173095,12.5578,233.438
0,0.168591,12.5578,236.25
0,0.157305,12.5578,239.062
0,0.140592,12.5578,241.875
0,0.120308,12.5578,244.688
0,0.0990047,12.5578,247.5
0,0.0825494,12.5578,250.312
0,0.0670498,12.5578,253.125
0,0.0548951,12.5578,255.938
0,0.0478685,12.5578,258.75
0,0.047252,12.5578,261.562
0,0.0381946,12.5578,264.375
0,0.0249168,12.5578,267.188
0,0.0135852,12.5578,270
0,0.00550873,12.5578,272.812
0,0.0215282,12.5578,275.625
0,-0.00192785,9.76715,278.438
0,0.0289972,9.76715,151.875
0,0.0549912,9.76715,154.688
0,0.0832762,9.76715,157.5
0,0.0944987,9.76715,160.312
0,0.106094,9.76715,163.125
0,0.118996,9.76715,165.938
0,0.126747,9.76715,168.75
0,0.12806,9.76715,171.562
0,0.142003,9.76715,174.375
0,0.162262,9.76715,177.188
0,0.195681,9.76715,180
0,0.227701,9.76715,182.812
0,0.235372,9.76715,185.625
0,0.240355,9.76715,188.438
0,0.23996,9.76715,191.25
0,0.239538,9.76715,194.062
0,0.239094,9.76715,196.875
0,0.245372,9.76715,199.688
0,0.253571,9.76715,202.5
0,0.246285,9.76715,205.312
0,0.238935,9.76715,208.125
0,0.231367,9.76715,210.938
0,0.219842,9.76715,213.75
0,0.203371,9.76715,216.562
0,0.176783,9.76715,219.375
0,0.145137,9.76715,222.188
0,0.121017,9.76715,225
0,0.0996001,9.76715,227.812
0,0.0922808,9.76715,230.625
0,0.0849447,9.76715,233.438
0,0.0775751,9.76715,236.25
0,0.0690083,9.76715,239.062
0,0.0594838,9.76715,241.875
0,0.0479532,9.76715,244.688
0,0.0358495,9.76715,247.5
0,0.0285551,9.76715,250.312
0,0.0207507,9.76715,253.125
0,0.0111611,9.76715,255.938
0,0.00407132,9.76715,258.75
0,0.000106267,9.76715,261.562
0,-0.00838573,9.76715,264.375
0,-0.0191412,9.76715,267.188
0,-0.0309032,9.76715,270
0,-0.0393515,9.76715,272.812
0,-0.0202839,9.76715,275.625
0,-0.0497138,6.97653,278.438
0,0.0329696,6.97653,151.875
0,0.0704383,6.97653,154.688
0,0.113742,6.97653,157.5
0,0.131599,6.97653,160.312
0,0.147648,6.97653,163.125
0,0.157368,6.97653,165.938
0,0.162907,6.97653,168.75
0,0.163221,6.97653,171.562
0,0.183493,6.97653,174.375
0,0.213744,6.97653,177.188
0,0.246056,6.97653,180
0,0.275292,6.97653,182.812
0,0.277854,6.97653,185.625
0,0.275414,6.97653,188.438
0,0.262972,6.97653,191.25
0,0.253602,6.97653,194.062
0,0.24669,6.97653,196.875
0,0.243961,6.97653,199.688
0,0.242428,6.97653,202.5
0,0.234677,6.97653,205.312
0,0.224803,6.97653,208.125
0,0.207499,6.97653,210.938
0,0.185699,6.97653,213.75
0,0.158278,6.97653,216.562
0,0.131203,6.97653,219.375
0,0.104302,6.97653,222.188
0,0.0767754,6.97653,225
0,0.049221,6.97653,227.812
0,0.0220671,6.97653,230.625
0,0.000261933,6.97653,233.438
0,-0.0108455,6.97653,236.25
0,-0.0194482,6.97653,239.062
0,-0.026047,6.97653,241.875
0,-0.0320552,6.97653,244.688
0,-0.0378945,6.97653,247.5
0,-0.0370744,6.97653,250.312
0,-0.0385413,6.97653,253.125
0,-0.0480127,6.97653,255.938
0,-0.0565613,6.97653,258.75
0,-0.0639566,6.97653,261.562
0,-0.0709167,6.97653,264.375
0,-0.0776592,6.97653,267.188
0,-0.0871803,6.97653,270
0,-0.0934764,6.97653,272.812
0,-0.0711945,6.97653,275.625
0,-0.127082,4.18592,278.438
0,0.049537,4.18592,151.875
0,0.0913394,4.18592,154.688
0,0.139354,4.18592,157.5
0,0.165979,4.18592,160.312
