,eof2,lat,lon
0,-0.172029,9.76715,185.625
0,-0.192911,9.76715,188.438
0,-0.231015,9.76715,191.25
0,-0.264578,9.76715,194.062
0,-0.29451,9.76715,196.875
0,-0.308432,9.76715,199.688
0,-0.317781,9.76715,202.5
0,-0.313327,9.76715,205.312
0,-0.313059,9.76715,208.125
0,-0.327445,9.76715,210.938
0,-0.346316,9.76715,213.75
0,-0.370793,9.76715,216.562
0,-0.383423,9.76715,219.375
0,-0.390131,9.76715,222.188
0,-0.385218,9.76715,225
0,-0.379119,9.76715,227.812
0,-0.375148,9.76715,230.625
0,-0.366176,9.76715,233.438
0,-0.347202,9.76715,236.25
0,-0.325287,9.76715,239.062
0,-0.301018,9.76715,241.875
0,-0.293349,9.76715,244.688
0,-0.290423,9.76715,247.5
0,-0.285004,9.76715,250.312
0,-0.279975,9.76715,253.125
0,-0.276315,9.76715,255.938
0,-0.287347,9.76715,258.75
0,-0.316744,9.76715,261.562
0,-0.354046,9.76715,264.375
0,-0.395301,9.76715,267.188
0,-0.444008,9.76715,270
0,-0.475428,9.76715,272.812
0,-0.361096,9.76715,275.625
0,-0.340651,6.97653,278.438
0,0.0872252,6.97653,151.875
0,0.0684715,6.97653,154.688
0,0.0477434,6.97653,157.5
0,-0.00172394,6.97653,160.312
0,-0.0535434,6.97653,163.125
0,-0.113595,6.97653,165.938
0,-0.159608,6.97653,168.75
0,-0.188073,6.97653,171.562
0,-0.210828,6.97653,174.375
0,-0.230729,6.97653,177.188
0,-0.246905,6.97653,180
0,-0.263576,6.97653,182.812
0,-0.287937,6.97653,185.625
0,-0.31863,6.97653,188.438
0,-0.361987,6.97653,191.25
0,-0.396614,6.97653,194.062
0,-0.424256,6.97653,196.875
0,-0.435079,6.97653,199.688
0,-0.441097,6.97653,202.5
0,-0.439452,6.97653,205.312
0,-0.439569,6.97653,208.125
0,-0.445852,6.97653,210.938
0,-0.454485,6.97653,213.75
0,-0.466056,6.97653,216.562
0,-0.481245,6.97653,219.375
0,-0.498244,6.97653,222.188
0,-0.50616,6.97653,225
0,-0.512662,6.97653,227.812
0,-0.516929,6.97653,230.625
0,-0.512156,6.97653,233.438
0,-0.489299,6.97653,236.25
0,-0.465288,6.97653,239.062
0,-0.440355,6.97653,241.875
0,-0.429543,6.97653,244.688
0,-0.422766,6.97653,247.5
