,eof1_pval,lat,lon
0,1.30009e-92,6.97653,171.562
0,1.185e-133,6.97653,174.375
0,4.02729e-166,6.97653,177.188
0,6.13715e-200,6.97653,180
0,4.00759e-207,6.97653,182.812
0,2.22933e-223,6.97653,185.625
0,6.07282e-229,6.97653,188.438
0,7.51426e-252,6.97653,191.25
0,7.90242e-265,6.97653,194.062
0,2.44719e-275,6.97653,196.875
0,2.80139e-279,6.97653,199.688
0,1.28742e-243,6.97653,202.5
0,2.92036e-249,6.97653,205.312
0,3.51753e-238,6.97653,208.125
0,5.2405e-234,6.97653,210.938
0,1.04406e-213,6.97653,213.75
0,1.03633e-167,6.97653,216.562
0,1.79987e-118,6.97653,219.375
0,1.23019e-69,6.97653,222.188
0,9.53907e-43,6.97653,225
0,4.36494e-16,6.97653,227.812
0,0.000445445,6.97653,230.625
0,0.968275,6.97653,233.438
0,0.092253,6.97653,236.25
0,0.00176156,6.97653,239.062
0,1.20287e-05,6.97653,241.875
0,9.06037e-09,6.97653,244.688
0,3.14047e-11,6.97653,247.5
0,9.90147e-11,6.97653,250.312
0,3.9844e-10,6.97653,253.125
0,7.06678e-15,6.97653,255.938
0,1.12447e-19,6.97653,258.75
0,2.29946e-23,6.97653,261.562
0,8.00963e-25,6.97653,264.375
0,5.62438e-24,6.97653,267.188
0,7.69868e-28,6.97653,270
0,2.11446e-30,6.97653,272.812
0,6.24334e-25,6.97653,275.625
0,3.55854e-81,4.18592,278.438
0,1.07174e-11,4.18592,151.875
0,2.7752e-32,4.18592,154.688
0,6.38172e-54,4.18592,157.5
0,2.23226e-71,4.18592,160.312
0,3.4221e-83,4.18592,163.125
0,3.34343e-97,4.18592,165.938
0,1.44476e-120,4.18592,168.75
0,1.44239e-158,4.18592,171.562
0,2.83828e-203,4.18592,174.375
0,1.80521e-240,4.18592,177.188
0,1.47682e-268,4.18592,180
0,3.05723e-254,4.18592,182.812
0,1.20667e-250,4.18592,185.625
0,8.20011e-240,4.18592,188.438
0,1.54195e-272,4.18592,191.25
0,9.83002e-295,4.18592,194.062
0,5.93682e-304,4.18592,196.875
0,1.01142e-299,4.18592,199.688
0,1.833e-258,4.18592,202.5
0,1.06636e-245,4.18592,205.312
0,1.03067e-207,4.18592,208.125
0,7.40298e-164,4.18592,210.938
0,6.90206e-113,4.18592,213.75
0,2.79976e-62,4.18592,216.562
0,3.22413e-35,4.18592,219.375
0,4.41589e-19,4.18592,222.188
0,3.18157e-08,4.18592,225
0,0.388991,4.18592,227.812
0,1.19078e-05,4.18592,230.625
0,7.01298e-17,4.18592,233.438
0,2.53914e-31,4.18592,236.25
0,1.08861e-49,4.18592,239.062
0,1.21971e-69,4.18592,241.875
0,3.10589e-97,4.18592,244.688
0,4.87574e-113,4.18592,247.5
0,8.31368e-126,4.18592,250.312
0,3.37423e-121,4.18592,253.125
0,7.07591e-149,4.18592,255.938
0,3.936e-172,4.18592,258.75
0,7.64813e-201,4.18592,261.562
0,5.383e-198,4.18592,264.375
0,4.51249e-171,4.18592,267.188
