,pc1,pc2,pc3,pc4
299,-10.3984,3.23495,-3.31091,1.27719
300,-9.52314,4.17609,-2.19711,1.52113
301,-7.6371,2.7738,-2.40419,0.586279
302,-6.89293,2.8178,-0.937644,-0.539505
303,-7.96311,1.6311,-1.06881,1.20626
304,-7.84339,3.53069,-0.804991,0.565063
305,-5.93719,4.81775,-0.0574279,0.88028
306,-4.13734,4.98031,0.753376,2.27403
307,-2.37045,2.02878,-0.363133,1.21297
308,-1.09572,0.570209,-1.02224,0.600296
309,0.39068,-1.11483,0.0936562,1.3154
310,3.4397,-1.58753,-0.45315,0.402752
311,3.58776,-1.01529,-1.73958,0.707528
312,4.73429,-0.84777,-0.128316,0.659027
313,4.83614,-0.33915,0.12708,0.0719861
314,1.8997,1.20787,0.185231,1.83755
315,-0.186581,2.76596,1.22016,4.19281
316,2.29503,5.01789,3.76452,4.59548
317,7.77643,5.03098,2.55694,3.21189
318,7.37262,8.97216,-0.524343,2.90794
319,5.7495,7.9624,-2.06226,2.4173
320,2.55817,4.95674,-2.59733,1.54681
321,6.90936,0.600568,-2.4663,1.6744
322,6.52772,1.71927,-4.97849,-0.308639
323,6.20758,1.76258,-3.73903,0.171275
324,4.23142,3.59852,-2.93787,1.61675
325,1.96208,5.41869,-1.67872,0.598587
326,-2.12446,3.81421,-1.82361,-0.119237
327,-1.97023,1.52049,-0.443042,-1.45002
328,-1.99755,0.0841006,-1.62993,-0.865971
329,-2.39312,1.18744,-1.21098,-0.667976
330,-1.76022,0.859578,0.418041,0.447006
331,-2.53381,4.18815,-1.15953,-1.11301
332,-1.08325,3.19204,-4.4014,-0.601719
333,0.482725,2.06754,-4.34809,0.151303
334,-1.56048,2.25579,-4.47164,-0.690678
335,0.28408,3.19645,-3.3343,-0.243631
336,-0.0984997,4.73222,-1.87288,-0.449636
337,-0.733643,4.68363,-3.24364,-1.80571
338,-3.00667,1.40485,-4.39587,-0.710631
339,-5.50669,-1.56504,-5.02001,-1.7795
340,-7.157,1.16016,-4.57792,-3.08148
341,-4.15019,0.915792,-4.58648,-1.13914
342,-3.96609,0.765197,-3.00457,-0.809096
343,-6.45915,0.767135,-3.35411,-0.403336
344,-6.66456,1.50395,-2.60824,-1.08689
345,-8.74373,-1.55897,-0.538541,-2.07714
346,-9.84213,-0.779025,-0.106467,-1.54729
347,-11.1312,-1.61732,-1.59569,-1.00766
348,-10.1536,0.159663,0.325359,1.14224
349,-5.79871,3.13605,0.949404,1.31131
350,-6.75426,2.94404,2.96819,1.05769
