,r2,lat,lon
0,0.792788,1.39531,222.188
0,0.815199,1.39531,225
0,0.79686,1.39531,227.812
0,0.813826,1.39531,230.625
0,0.823,1.39531,233.438
0,0.842247,1.39531,236.25
0,0.853478,1.39531,239.062
0,0.859856,1.39531,241.875
0,0.882056,1.39531,244.688
0,0.886189,1.39531,247.5
0,0.905789,1.39531,250.312
0,0.903069,1.39531,253.125
0,0.902941,1.39531,255.938
0,0.895689,1.39531,258.75
0,0.8926,1.39531,261.562
0,0.8842,1.39531,264.375
0,0.865553,1.39531,267.188
0,0.841371,1.39531,270
0,0.800645,1.39531,272.812
0,0.753885,1.39531,275.625
0,0.0968838,-1.39531,151.875
0,0.0898522,-1.39531,154.688
0,0.113279,-1.39531,157.5
0,0.160181,-1.39531,160.312
0,0.23904,-1.39531,163.125
0,0.364664,-1.39531,165.938
0,0.493611,-1.39531,168.75
0,0.58362,-1.39531,171.562
0,0.646199,-1.39531,174.375
0,0.67153,-1.39531,177.188
0,0.724119,-1.39531,180
0,0.724535,-1.39531,182.812
0,0.784177,-1.39531,185.625
0,0.818359,-1.39531,188.438
0,0.868879,-1.39531,191.25
0,0.887908,-1.39531,194.062
0,0.8887,-1.39531,196.875
0,0.886277,-1.39531,199.688
0,0.864263,-1.39531,202.5
0,0.866253,-1.39531,205.312
0,0.84866,-1.39531,208.125
0,0.839451,-1.39531,210.938
0,0.822777,-1.39531,213.75
0,0.806128,-1.39531,216.562
0,0.806418,-1.39531,219.375
0,0.795055,-1.39531,222.188
0,0.803266,-1.39531,225
0,0.775975,-1.39531,227.812
0,0.802196,-1.39531,230.625
0,0.825583,-1.39531,233.438
0,0.864196,-1.39531,236.25
0,0.890975,-1.39531,239.062
0,0.907435,-1.39531,241.875
0,0.923611,-1.39531,244.688
0,0.926472,-1.39531,247.5
0,0.936144,-1.39531,250.312
0,0.933265,-1.39531,253.125
0,0.92928,-1.39531,255.938
0,0.917979,-1.39531,258.75
0,0.905935,-1.39531,261.562
0,0.901418,-1.39531,264.375
0,0.892882,-1.39531,267.188
0,0.874373,-1.39531,270
0,0.830235,-1.39531,272.812
0,0.763647,-1.39531,275.625
0,0.110498,-4.18592,151.875
0,0.0827613,-4.18592,154.688
0,0.0816955,-4.18592,157.5
0,0.0952261,-4.18592,160.312
0,0.155582,-4.18592,163.125
0,0.253367,-4.18592,165.938
0,0.376849,-4.18592,168.75
0,0.485333,-4.18592,171.562
0,0.56749,-4.18592,174.375
0,0.606572,-4.18592,177.188
0,0.674358,-4.18592,180
0,0.693148,-4.18592,182.812
0,0.78086,-4.18592,185.625
0,0.82324,-4.18592,188.438
0,0.863725,-4.18592,191.25
0,0.873728,-4.18592,194.062
0,0.869557,-4.18592,196.875
0,0.866012,-4.18592,199.688
0,0.838154,-4.18592,202.5
0,0.835798,-4.18592,205.312
0,0.816817,-4.18592,208.125
0,0.816398,-4.18592,210.938
0,0.803966,-4.18592,213.75
0,0.798219,-4.18592,216.562
0,0.811864,-4.18592,219.375
0,0.804915,-4.18592,222.188
0,0.796098,-4.18592,225
0,0.760888,-4.18592,227.812
0,0.78813,-4.18592,230.625
0,0.814483,-4.18592,233.438
0,0.853393,-4.18592,236.25
0,0.878797,-4.18592,239.062
0,0.892459,-4.18592,241.875
0,0.905751,-4.18592,244.688
0,0.911067,-4.18592,247.5
0,0.92163,-4.18592,250.312
0,0.922515,-4.18592,253.125
0,0.915194,-4.18592,255.938
0,0.902071,-4.18592,258.75
0,0.887153,-4.18592,261.562
0,0.891261,-4.18592,264.375
0,0.892567,-4.18592,267.188
0,0.886942,-4.18592,270
0,0.845283,-4.18592,272.812
0,0.772022,-4.18592,275.625
0,0.136579,-6.97653,151.875
0,0.0985117,-6.97653,154.688
0,0.0692891,-6.97653,157.5
0,0.0318097,-6.97653,160.312
0,0.042697,-6.97653,163.125
0,0.0853363,-6.97653,165.938
0,0.164462,-6.97653,168.75
0,0.275643,-6.97653,171.562
0,0.382179,-6.97653,174.375
0,0.449474,-6.97653,177.188
